Temp,delta18O
21.88139679,-0.16615234
21.88139679,-0.272796073
21.88139679,-0.331973823
21.88139679,-0.21470194
22.7217,-0.832120926
22.7217,-0.666351191
22.7217,-0.383980236
22.7217,-0.523643783
22.7217,-0.512654428
22.53138954,-0.584266356
22.53138954,-0.883869629
22.53138954,-0.595307459
22.53138954,-0.513119129
22.53138954,-0.885985115
21.79470642,-0.008449787
21.79470642,-0.03212372
21.79470642,-0.010593279
21.79470642,-0.057896771
